title,url,year,mileage,engine_capacity,fuel_type,price,currency,city,region
Ford S-Max,https://www.otomoto.pl/oferta/ford-s-max-ford-s-max-2-2-tdci-175-km-titanium-s-navi-xenon-panorama-ID6DvvMI.html#7ce9f71ee3,2008 ,218 000 km,2 200 cm3,Diesel,28 999,PLN,Piła,(Wielkopolskie)
Seat Altea 1.4,https://www.otomoto.pl/oferta/seat-altea-seat-altea-1-4-benzyna-bez-turbo-ID6Dvr3d.html#7ce9f71ee3,2010 ,111 700 km,1 390 cm3,Benzyna,15 900,PLN,Zielona Góra,(Lubuskie)
Hyundai ix55 3.0,https://www.otomoto.pl/oferta/hyundai-ix55-3-0-diesel-240km-salon-polska-oryginal-lakier-serwis-ID6DjI0H.html#7ce9f71ee3,2009 ,160 524 km,2 959 cm3,Diesel,37 900,PLN,Pruszków,(Mazowieckie)
Volvo S90 T5,https://www.otomoto.pl/oferta/volvo-s90-s90-r-design-polestar-t5-salonowy-faktura-vat-ID6DvvKw.html#7ce9f71ee3,2018 ,68 000 km,1 969 cm3,Benzyna,153 750,PLN,Legionowo,(Mazowieckie)
Suzuki Vitara,https://www.otomoto.pl/oferta/suzuki-vitara-ID6DvvLB.html#7ce9f71ee3,2016 ,183 000 km,,Diesel,48 900,PLN,Lipno,(Kujawsko-pomorskie)
Seat Leon,https://www.otomoto.pl/oferta/seat-leon-fr-150km-dsg-ID6DppVd.html#7ce9f71ee3,2020 ,10 km,1 499 cm3,Benzyna,119 900,PLN,Myślenice,(Małopolskie)
Seat Arona,https://www.otomoto.pl/oferta/seat-arona-fr-150km-dsg-ID6Dpity.html#7ce9f71ee3,2020 ,10 km,1 499 cm3,Benzyna,105 900,PLN,Myślenice,(Małopolskie)
Ford Focus,https://www.otomoto.pl/oferta/ford-focus-st-2-0-benz-280km-niski-przebieg-63tys-piekny-kolor-ID6DbfHH.html#7ce9f71ee3,2013 ,63 000 km,1 999 cm3,Benzyna,37 900,PLN,Pruszków,(Mazowieckie)
Honda Accord,https://www.otomoto.pl/oferta/honda-accord-pierwszy-wlasciciel-serwis-promocja-ID6Dp8Ze.html#7ce9f71ee3,2008 ,160 000 km,1 995 cm3,Benzyna,26 200,PLN,Tarnobrzeg,(Podkarpackie)
Seat Leon,https://www.otomoto.pl/oferta/seat-leon-nowy-leon-xcellence-150km-st-ID6Dh8ga.html#7ce9f71ee3,2020 ,10 km,1 498 cm3,Benzyna,104 900,PLN,Myślenice,(Małopolskie)
Opel Astra IV,https://www.otomoto.pl/oferta/opel-astra-1-4-turbo-140km-pakiet-chrom-alusy-xenon-serwisowana-oplacona-ID6DueEV.html#7ce9f71ee3,2010 ,94 358 km,1 364 cm3,Benzyna,29 900,PLN,Mogilno,(Kujawsko-pomorskie)
Hyundai ix35,https://www.otomoto.pl/oferta/hyundai-ix35-2-0-diesel-136km1-wl-z-niemiec-full-opcja4x4jak-z-fabryki-ID6DuGF1.html#7ce9f71ee3,2015 ,147 000 km,2 000 cm3,Diesel,57 900,PLN,Bogoria Skotnicka,(Świętokrzyskie)
Mazda 6 2.0,https://www.otomoto.pl/oferta/mazda-6-salon-pl-74-tys-km-oryginal-lakier-serwis-aso-sky-passion-bezwypadkowy-ID6DjtI6.html#7ce9f71ee3,2014 ,74 000 km,1 998 cm3,Benzyna,66 900,PLN,Ostrowiec Świętokrzyski,(Świętokrzyskie)
Škoda Octavia 1.6,https://www.otomoto.pl/oferta/skoda-octavia-1-6-diesel-105km-salon-polska-bardzo-zadbana-polecam-ID6DbDSk.html#7ce9f71ee3,2011 ,303 000 km,1 598 cm3,Diesel,16 900,PLN,Pruszków,(Mazowieckie)
Škoda Octavia 1.6,https://www.otomoto.pl/oferta/skoda-octavia-skoda-octavia-1-6-tdi-110-km-automat-dsg-salon-polska-fv-vat-23-ID6DoXYx.html#7ce9f71ee3,2015 ,149 200 km,1 598 cm3,Diesel,45 900,PLN,Rzeszów,(Podkarpackie)
Volkswagen Caddy Maxi,https://www.otomoto.pl/oferta/volkswagen-caddy-salon-polska-gwarancja-bogata-wersja-automat-navi-maxi-ID6DvvKB.html#7ce9f71ee3,2019 ,69 500 km,1 968 cm3,Diesel,79 950,PLN,Stęszew,(Wielkopolskie)
Mercedes-Benz CLK,https://www.otomoto.pl/oferta/mercedes-benz-clk-2-6-benz-170km-oryginal-lakier-serwis-pelny-stan-unikatowy-ID6Dh2Om.html#7ce9f71ee3,2003 ,159 802 km,2 597 cm3,Benzyna,25 900,PLN,Pruszków,(Mazowieckie)
Jeep Grand Cherokee Gr,https://www.otomoto.pl/oferta/jeep-grand-cherokee-salon-polska-bezwypadkowy-faktura-vat-ID6Dnevp.html#7ce9f71ee3,2019 ,33 500 km,2 987 cm3,Diesel,259 000,PLN,Ornontowice,(Śląskie)
Audi A3,https://www.otomoto.pl/oferta/audi-a3-sportbackbenzynabixenontempomatpdcokazja-ID6DwRIb.html#7ce9f71ee3,2009 ,208 990 km,1 400 cm3,Benzyna,23 600,PLN,Wrocław,(Dolnośląskie)
Infiniti G G37,https://www.otomoto.pl/oferta/infiniti-g-3-7-benz-320km-awd-kolor-magma-red-ID6DkGiB.html#7ce9f71ee3,2011 ,154 000 km,3 696 cm3,Benzyna,49 900,PLN,Pruszków,(Mazowieckie)
Volkswagen Passat,https://www.otomoto.pl/oferta/volkswagen-passat-volkswagen-passat-b8-4x4-dsg-pelna-opcja-ID6Dr7xP.html#7ce9f71ee3,2015 ,201 000 km,1 968 cm3,Diesel,60 270,PLN,Rzeszów,(Podkarpackie)
Honda Accord 2.0,https://www.otomoto.pl/oferta/honda-accord-2-0-vtec-tylko-133tys-km-pelny-serwis-stan-idealny-od-i-wlasciciela-ID6DwIlO.html#7ce9f71ee3,2007 ,133 417 km,1 998 cm3,Benzyna,25 500,PLN,Wołomin,(Mazowieckie)
BMW Seria 5,https://www.otomoto.pl/oferta/bmw-seria-5-3-0-xd-2006r-m-pakiet-stan-bdb-ID6DvvJp.html#7ce9f71ee3,2006 ,229 000 km,2 993 cm3,Diesel,27 900,PLN,Kołaczów,(Dolnośląskie)
Citroën C1 1.0i,https://www.otomoto.pl/oferta/citroen-c1-klima-wspomaganie-elektryczne-szyby-ksiazka-serwisowa-eco-skora-ID6Dtw7b.html#7ce9f71ee3,2013 ,99 000 km,998 cm3,Benzyna,12 900,PLN,Kołbiel,(Mazowieckie)
Volkswagen Arteon,https://www.otomoto.pl/oferta/volkswagen-arteon-r-line-2-0-tdi-4motion-190-km-dsg-citymotors-gdansk-ID6CdYR8.html#7ce9f71ee3,2019 ,1 km,2 000 cm3,Diesel,176 900,PLN,Gdańsk,(Pomorskie)
Volvo XC 60 DRIVe,https://www.otomoto.pl/oferta/volvo-xc-60-bogate-wyposazenie-serwis-ID6Dnewn.html#7ce9f71ee3,2012 ,150 000 km,1 984 cm3,Diesel,59 999,PLN,Tarnobrzeg,(Podkarpackie)
Ford Mondeo 2.0,https://www.otomoto.pl/oferta/ford-mondeo-ford-mondeo-2-0-ghia-ID6DvvGy.html#7ce9f71ee3,2012 ,289 716 km,1 997 cm3,Diesel,24 500,PLN,Nowy Sącz,(Małopolskie)
Volkswagen Golf,https://www.otomoto.pl/oferta/volkswagen-golf-1-4-benz-75km-2004-rok-ID6DiJJI.html#7ce9f71ee3,2004 ,193 744 km,1 390 cm3,Benzyna,8 900,PLN,Pruszków,(Mazowieckie)
Ford C-MAX,https://www.otomoto.pl/oferta/ford-c-max-ford-c-max-2-0-tdci-140-km-titanum-panorama-automat-ID6DszNY.html#7ce9f71ee3,2011 ,198 000 km,1 997 cm3,Diesel,28 900,PLN,Kłecko,(Wielkopolskie)
Ford S-Max 2.0,https://www.otomoto.pl/oferta/ford-s-max-st-line-bezwypadkowy-150-koni-automat-ID6DwRiP.html#7ce9f71ee3,2016 ,149 543 km,1 998 cm3,Diesel,63 900,PLN,Psary,(Dolnośląskie)
Škoda Superb 2.0,https://www.otomoto.pl/oferta/skoda-superb-skoda-superb-ii-2015-r-2-0-tdi-170-km-ID6DlCS4.html#7ce9f71ee3,2015 ,104 000 km,1 968 cm3,Diesel,55 900,PLN,Ciechanów,(Mazowieckie)
Škoda Octavia 2.0,https://www.otomoto.pl/oferta/skoda-octavia-skoda-octavia-2-0-tdi-150km-automat-niski-przebieg-fv-23-ID6Dulu2.html#7ce9f71ee3,2015 ,88 830 km,1 968 cm3,Diesel,49 999,PLN,Częstochowa,(Śląskie)
Volkswagen Golf 2.0,https://www.otomoto.pl/oferta/volkswagen-golf-gti-serwis-do-konca-w-vw-ID6DvvHy.html#14a617a363,2006 ,223 554 km,1 984 cm3,Benzyna,23 900,PLN,Radom,(Mazowieckie)
Peugeot 5008,https://www.otomoto.pl/oferta/peugeot-5008-sprzedam-2-0-hdi-150-km-7-osobowy-panorama-nawigacja-serwis-ID6Dtq9u.html#14a617a363,2010 ,170 000 km,1 997 cm3,Diesel,24 900,PLN,Stargard Szczeciński,(Zachodniopomorskie)
Jeep Renegade 1.4,https://www.otomoto.pl/oferta/jeep-renegade-sprzedam-ID6DwRBB.html#14a617a363,2017 ,23 350 km,1 368 cm3,Benzyna,67 900,PLN,Siewierz,(Śląskie)
Audi S8 Plus,https://www.otomoto.pl/oferta/audi-s8-s8-plus-605km-pelne-wyposazenie-dodatkowe-idealny-stan-ID6DvvCJ.html#14a617a363,2017 ,91 000 km,3 993 cm3,Benzyna,300 000,PLN,Konstancin-Jeziorna,(Mazowieckie)
Renault Trafic 2.0,https://www.otomoto.pl/oferta/renault-trafic-2005r-1-9-dti-klima-9-osob-ID6DwRDI.html#14a617a363,2005 ,305 182 km,1 995 cm3,Diesel,18 700,PLN,Królewiec,(Świętokrzyskie)
Honda Jazz 1.4,https://www.otomoto.pl/oferta/honda-jazz-1-4-lpg-z-niemiec-bezwypadek-klimatronik-org-przebieg-oplacona-ID6DwSO3.html#14a617a363,2007 ,177 000 km,1 339 cm3,Benzyna+LPG,13 500,PLN,Gniezno,(Wielkopolskie)
Seat Leon 1.6,https://www.otomoto.pl/oferta/seat-leon-seat-leon-1-6-dsg-ID6DvvBW.html#14a617a363,2016 ,60 000 km,1 598 cm3,Diesel,42 500,PLN,Wolsztyn,(Wielkopolskie)
Hyundai i40 1.7,https://www.otomoto.pl/oferta/hyundai-i40-lift-pierwszy-wlasciciel-oryginal-promocja-ID6Dp8WE.html#14a617a363,2015 ,134 000 km,1 685 cm3,Diesel,45 500,PLN,Tarnobrzeg,(Podkarpackie)
Volkswagen Passat 2.0,https://www.otomoto.pl/oferta/volkswagen-passat-volkswagen-passat-ID6Dwrd1.html#14a617a363,2012 ,129 013 km,1 968 cm3,Diesel,42 900,PLN,Luboń,(Wielkopolskie)
Škoda Superb 1.8,https://www.otomoto.pl/oferta/skoda-superb-jak-nowy-salon-pl-od-1wl-z-dsg-do-konca-serwis-aso-ID6DvvDy.html#14a617a363,2010 ,160 690 km,1 798 cm3,Benzyna,32 500,PLN,Warszawa,(Mazowieckie)
BMW Seria 3 320Ci,https://www.otomoto.pl/oferta/bmw-seria-3-2-0-150km-benzyna-lpg-skora-xenon-klima-zarejestrowany-ID6DvvCl.html#14a617a363,2000 ,330 000 km,1 991 cm3,Benzyna+LPG,9 900,PLN,Płock,(Mazowieckie)
Bentley Continental Flying Spur,https://www.otomoto.pl/oferta/bentley-continental-flying-spur-czarna-limuzyna-20-zoll-4-os-pneumatyka-masaze-zamiana-ID6DvvFm.html#14a617a363,2008 ,103 914 km,6 000 cm3,Benzyna,199 000,PLN,Pieńkowo,(Zachodniopomorskie)
BMW Seria 5,https://www.otomoto.pl/oferta/bmw-seria-5-ID6DlLbO.html#14a617a363,2003 ,255 000 km,2 494 cm3,Benzyna,11 900,PLN,Łuków,(Lubelskie)
Volkswagen Passat 1.8T,https://www.otomoto.pl/oferta/volkswagen-passat-pierwszy-wlasciciel-100tys-km-przebiegu-ID6DwRvX.html#14a617a363,1997 ,108 273 km,1 781 cm3,Benzyna,6 999,PLN,Sztum,(Pomorskie)
Škoda Octavia Scout,https://www.otomoto.pl/oferta/skoda-octavia-skoda-oktawia-wersja-scout-4x4-ID6DvvDo.html#14a617a363,2007 ,352 000 km,1 968 cm3,Diesel,13 000,PLN,Zielona Góra,(Lubuskie)
Audi A6 4.2,https://www.otomoto.pl/oferta/audi-a6-audi-a6-4-2-v8-mpi-piekne-skory-super-stan-full-opcja-ID6DvvEA.html#14a617a363,2004 ,262 447 km,4 163 cm3,Benzyna,31 900,PLN,Radom,(Mazowieckie)
BMW Seria 8 840d,https://www.otomoto.pl/oferta/bmw-seria-8-full-opcja-leasing-do-przejecia-ID6Dttub.html#14a617a363,2019 ,26 900 km,2 993 cm3,Diesel,110 000,PLN,Zabrze,(Śląskie)
Lexus GS 450h,https://www.otomoto.pl/oferta/lexus-gs-lexus-gs450h-2008-lift-krajowy-zadbany-ID6DrSNu.html#14a617a363,2008 ,361 700 km,3 456 cm3,Hybryda,39 900,PLN,Wieruszów,(Łódzkie)
Citroën C5 2.0,https://www.otomoto.pl/oferta/citroen-c5-citroen-c5-2012r-2-0-hdi-163km-podana-cena-brutto-fvt-23-ID6Df6Yb.html#14a617a363,2012 ,185 000 km,1 997 cm3,Diesel,29 000,PLN,Tomaszów Mazowiecki,(Łódzkie)
Jeep Compass 1.4,https://www.otomoto.pl/oferta/jeep-compass-typ-my18-ID6Dsxms.html#14a617a363,2017 ,40 330 km,1 368 cm3,Benzyna,79 000,PLN,Choroszcz,(Podlaskie)
Hyundai Tucson,https://www.otomoto.pl/oferta/hyundai-tucson-ID6DvvBB.html#14a617a363,2016 ,41 000 km,1 591 cm3,Benzyna,64 000,PLN,Daleszyce,(Świętokrzyskie)
Volvo V60,https://www.otomoto.pl/oferta/volvo-v60-full-szyber-190ps-skora-xenon-ID6DjVsq.html#14a617a363,2017 ,169 000 km,1 998 cm3,Diesel,68 900,PLN,Zawiercie,(Śląskie)
Opel Meriva 1.6,https://www.otomoto.pl/oferta/opel-meriva-1-6-benzyna-ID6DwRAh.html#14a617a363,2005 ,191 000 km,1 598 cm3,Benzyna,7 400,PLN,Toruń,(Kujawsko-pomorskie)
Audi A5 2.0,https://www.otomoto.pl/oferta/audi-a5-2-0-diesel-2010r-170km-bardzo-zadbane-ID6D9mgd.html#14a617a363,2010 ,237 500 km,1 968 cm3,Diesel,43 000,PLN,Dąbrowa Tarnowska,(Małopolskie)
Hyundai ix35 2.0,https://www.otomoto.pl/oferta/hyundai-ix35-lift-full-opcja-full-led-bi-xenon-model-2015-2-0-crdi-webasto-ID6DwRAK.html#14a617a363,2014 ,202 360 km,1 995 cm3,Diesel,43 900,PLN,Barkowo,(Pomorskie)
Ford Focus 1.6,https://www.otomoto.pl/oferta/ford-focus-ID6DsJl3.html#14a617a363,2011 ,368 000 km,1 596 cm3,Benzyna,13 850,PLN,Wyszków,(Mazowieckie)
Opel Astra,https://www.otomoto.pl/oferta/opel-astra-nawigacja-po-oplatach-celno-skarbowych-ID6DwRzH.html#14a617a363,2012 ,143 000 km,1 700 cm3,Diesel,20 950,PLN,Witkowo,(Wielkopolskie)
BMW X5 xDrive40d,https://www.otomoto.pl/oferta/bmw-x5-40d-xdrive-306km-m-pakiet-panorama-kamera-hak-zarejestrowana-w-pl-ID6DwR7W.html#14a617a363,2010 ,255 935 km,2 993 cm3,Diesel,46 900,PLN,Gniezno,(Wielkopolskie)
Volkswagen Passat 1.4,https://www.otomoto.pl/oferta/volkswagen-passat-1-4-turbo-150kmacckubelkinavi2xpdcchromoryginal-71800km-ID6Duexh.html#14a617a363,2016 ,71 800 km,1 395 cm3,Benzyna,59 800,PLN,Ładna,(Małopolskie)
Volkswagen Touran 1.6,https://www.otomoto.pl/oferta/volkswagen-touran-navigacja-higline-oplacony-ID6DwRzd.html#14a617a363,2012 ,203 342 km,1 598 cm3,Diesel,30 800,PLN,Międzyrzec Podlaski,(Lubelskie)
Renault Kangoo 1.5,https://www.otomoto.pl/oferta/renault-kangoo-1-5-dci-105km-salon-polska-bezwypadkowy-homologacja-ciezarowa-ID6DvvAn.html#14a617a363,2009 ,248 000 km,1 461 cm3,Diesel,15 800,PLN,Oświęcim,(Małopolskie)
Opel Corsa 1.2,https://www.otomoto.pl/oferta/opel-corsa-opel-corsa-1-2-ID6DwRxD.html#14a617a363,2007 ,105 000 km,1 229 cm3,Benzyna,12 500,PLN,Katowice,(Śląskie)
Opel Astra V,https://www.otomoto.pl/oferta/opel-astra-podgrzewane-fotele-led-serwisowane-ID6Duevm.html#4c2dca9b21,2016 ,180 000 km,1 598 cm3,Diesel,35 900,PLN,Łagiewniki,(Dolnośląskie)
Audi A4,https://www.otomoto.pl/oferta/audi-a4-b7-140km-jak-nowy-s-line-bose-navi-alu17-zimowki-nowy-rozrzad-ID6DvvzN.html#4c2dca9b21,2007 ,218 100 km,1 968 cm3,Diesel,18 600,PLN,Staszów,(Świętokrzyskie)
Mini Clubman Cooper,https://www.otomoto.pl/oferta/mini-clubman-mini-clubman-cooper-s-2017-all4-4x4-ID6CUTW9.html#4c2dca9b21,2017 ,21 150 km,1 998 cm3,Benzyna,65 900,PLN,Koszalin,(Zachodniopomorskie)
BMW X5,https://www.otomoto.pl/oferta/bmw-x5-okazja-bi-turbo-m-pakiet-xdrive-panorama-dociagi-headup-piekna-ID6DoBwG.html#4c2dca9b21,2012 ,124 000 km,2 993 cm3,Diesel,75 800,PLN,Żywiec,(Śląskie)
Fiat Grande Punto 1.4,https://www.otomoto.pl/oferta/fiat-grande-punto-1-4i-95ps-sport-klima-alu17-wzor-piekny-ID6DuSmx.html#4c2dca9b21,2007 ,175 000 km,1 368 cm3,Benzyna,9 800,PLN,Zawiercie,(Śląskie)
Peugeot 308 1.6,https://www.otomoto.pl/oferta/peugeot-308-1-6-climatronic-stan-bdb-ID6DnLol.html#4c2dca9b21,2008 ,168 000 km,1 598 cm3,Benzyna,11 900,PLN,Częstochowa,(Śląskie)
Renault Megane,https://www.otomoto.pl/oferta/renault-megane-coup-ID6Dh8Vm.html#4c2dca9b21,2009 ,84 700 km,2 000 cm3,Benzyna,22 999,PLN,Łuków,(Lubelskie)
Ford Fiesta 1.0,https://www.otomoto.pl/oferta/ford-fiesta-29000-zl-brutto-titanium-zarejestrowany-bezwypadkowy-ID6DvvvU.html#4c2dca9b21,2016 ,104 329 km,998 cm3,Benzyna,29 500,PLN,Orneta,(Warmińsko-mazurskie)
Audi Q8 50,https://www.otomoto.pl/oferta/audi-q8-50-tdi-fabrycznie-nowe-od-reki-ID6DvvoQ.html#4c2dca9b21,2020 ,5 km,2 967 cm3,Diesel,427 000,PLN,Warszawa,(Mazowieckie)
Hyundai Tucson 2.0,https://www.otomoto.pl/oferta/hyundai-tucson-salon-polska-1-wlasciciel-przebieg-88-tysiecy-nowy-piekny-ID6Dvw5c.html#4c2dca9b21,2016 ,88 000 km,1 995 cm3,Diesel,74 900,PLN,Sierpc,(Mazowieckie)
Mercedes-Benz GLB 200,https://www.otomoto.pl/oferta/mercedes-benz-glb-oferta-specjalna-do-konca-grudnia-ID6DwRx9.html#4c2dca9b21,2020 ,1 km,1 332 cm3,Benzyna,146 400,PLN,Kraków,(Małopolskie)
Audi A5 2.0,https://www.otomoto.pl/oferta/audi-a5-audi-a5-2-0-ID6D9j94.html#4c2dca9b21,2017 ,132 000 km,1 968 cm3,Diesel,153 000,PLN,Lubomierz,(Małopolskie)
Opel Meriva,https://www.otomoto.pl/oferta/opel-meriva-bezwypadkowa-pelny-serwis-stan-idealny-1-4turbo-bagaznik-na-rowery-ID6DppaV.html#4c2dca9b21,2011 ,186 212 km,1 400 cm3,Benzyna,23 807,PLN,Zawiercie,(Śląskie)
Nissan Tiida 1.6,https://www.otomoto.pl/oferta/nissan-tiida-1-6-climatronic-stan-bdb-ID6DnLmM.html#4c2dca9b21,2008 ,138 000 km,1 598 cm3,Benzyna,11 900,PLN,Częstochowa,(Śląskie)
Hyundai Tucson 1.6,https://www.otomoto.pl/oferta/hyundai-tucson-1-6-benzyna-132ps-lift-ledy-android-auto-jak-nowy-ID6Dvvy9.html#4c2dca9b21,2019 ,22 600 km,1 591 cm3,Benzyna,82 900,PLN,Zawiercie,(Śląskie)
Honda Civic 1.4,https://www.otomoto.pl/oferta/honda-civic-jak-nowa-niski-przebieg-udokumentowany-bezwypadek-oryginal-lakier-ID6DtwZm.html#4c2dca9b21,2010 ,95 342 km,1 339 cm3,Benzyna,25 909,PLN,Zawiercie,(Śląskie)
Audi A6 3.0,https://www.otomoto.pl/oferta/audi-a6-audi-a6-3-0-tdi-czarna-bestia-kamery-navi-bixenon-ID6DvvwQ.html#4c2dca9b21,2013 ,292 500 km,2 967 cm3,Diesel,67 000,PLN,Elbląg,(Warmińsko-mazurskie)
Opel Astra 2.0,https://www.otomoto.pl/oferta/opel-astra-opel-astra-ID6DvvnH.html#4c2dca9b21,2011 ,180 550 km,1 956 cm3,Diesel,27 999,PLN,Krotoszyn,(Wielkopolskie)
Opel Corsa,https://www.otomoto.pl/oferta/opel-corsa-ID6Dh940.html#4c2dca9b21,2012 ,196 000 km,1 229 cm3,Benzyna,15 999,PLN,Łuków,(Lubelskie)
Mitsubishi 3000GT,https://www.otomoto.pl/oferta/mitsubishi-3000gt-sprowadzony-z-japonii-dowod-v5c-2004r-225km-ID6DdCSX.html#4c2dca9b21,2004 ,160 000 km,3 000 cm3,Benzyna,22 900,PLN,Kłodawa,(Wielkopolskie)
Citroën C5 2.0,https://www.otomoto.pl/oferta/citroen-c5-2-0-hdi-climatronic-stan-bdb-ID6Dsvop.html#4c2dca9b21,2008 ,181 000 km,1 997 cm3,Diesel,16 900,PLN,Częstochowa,(Śląskie)
Toyota Auris 1.8,https://www.otomoto.pl/oferta/toyota-auris-1-8vvt-i-hybryda-42tys-przebiegu-ID6DtwKt.html#4c2dca9b21,2016 ,42 000 km,1 798 cm3,Hybryda,60 000,PLN,Ryki,(Lubelskie)
BMW X6 xDrive30d,https://www.otomoto.pl/oferta/bmw-x6-30d-salon-polska-1-wlasciciel-serwisowany-bezwypadkowy-ID6DvvwP.html#4c2dca9b21,2014 ,118 000 km,2 993 cm3,Diesel,179 000,PLN,Szadek,(Łódzkie)
Ford Mondeo,https://www.otomoto.pl/oferta/ford-mondeo-2-0-140-km-titanium-duza-navi-alu-bezwypadkowy-serwis-ID6DwRu1.html#4c2dca9b21,2008 ,278 000 km,1 997 cm3,Diesel,17 700,PLN,Sobótka,(Dolnośląskie)
Kia Sorento,https://www.otomoto.pl/oferta/kia-sorento-kia-sorento-orginal-reduktor-po-oplatach-ID6Dt8v2.html#4c2dca9b21,2004 ,233 000 km,2 497 cm3,Diesel,9 500,PLN,Łagów,(Świętokrzyskie)
Volvo XC 40 T3,https://www.otomoto.pl/oferta/volvo-xc-40-xc40-t3-163km-momentum-core-2021-rok-produkcji-ID6DjuIj.html#4c2dca9b21,2020 ,1 km,1 477 cm3,Benzyna,114 900,PLN,Katowice,(Śląskie)
Ford Focus C-Max 1.6,https://www.otomoto.pl/oferta/ford-focus-c-max-ford-c-max-1-6-tdci-109-km-klima-elektryka-full-5l-100km-ID6DwRr1.html#4c2dca9b21,2006 ,292 000 km,1 560 cm3,Diesel,6 900,PLN,Szczecin,(Zachodniopomorskie)
Ford Mondeo 2.0,https://www.otomoto.pl/oferta/ford-mondeo-ford-mondeo-2-0-d-igla-jak-nowy-serwisowany-ID6DvvuJ.html#4c2dca9b21,2015 ,95 000 km,1 997 cm3,Diesel,59 800,PLN,Częstochowa,(Śląskie)
Škoda Superb,https://www.otomoto.pl/oferta/skoda-superb-2-0-tdi-190km-4x4-dsg-webasto-laurin-klement-1-wlasciciel-salon-polska-ID6DszJA.html#4c2dca9b21,2016 ,143 600 km,1 968 cm3,Diesel,95 000,PLN,Bielsko-Biała,(Śląskie)
Fiat Doblo,https://www.otomoto.pl/oferta/fiat-doblo-5-osobowy-1-6-diesel-2016-r-salon-pl-silnik-i-skrzynie-cale-ID6CJOTl.html#4c2dca9b21,2016 ,64 000 km,1 598 cm3,Diesel,7 600,PLN,Pruszcz Gdański,(Pomorskie)
Volkswagen Polo 1.2,https://www.otomoto.pl/oferta/volkswagen-polo-klima-pdc-oplacony-gotowy-do-rejestracji-ID6DuesG.html#4c2dca9b21,2010 ,131 591 km,1 198 cm3,Benzyna,17 450,PLN,Kotlin,(Wielkopolskie)
Peugeot 5008 1.6,https://www.otomoto.pl/oferta/peugeot-5008-1-6hdi-navigacja-panorama-chromy-piekny-stan-ID6DsxLD.html#4c2dca9b21,2011 ,175 654 km,1 560 cm3,Diesel,23 800,PLN,Międzyrzec Podlaski,(Lubelskie)
Volkswagen Passat,https://www.otomoto.pl/oferta/volkswagen-passat-2-0tdi-cr-150km-r-line-skora-dsg-navi-full-led-pdc-alu-20-gwarancjia-ID6CTwXV.html#64231c9db8,2017 ,199 123 km,1 997 cm3,Diesel,69 900,PLN,Zwoleń,(Mazowieckie)
Hyundai I30 1.6,https://www.otomoto.pl/oferta/hyundai-i30-po-duzym-serwisie-wersja-lf-comfortline-gwarancja-hyundai-ID6Dsx0G.html#64231c9db8,2016 ,103 000 km,1 582 cm3,Diesel,39 900,PLN,Końskie,(Świętokrzyskie)
Mitsubishi Grandis 2.4,https://www.otomoto.pl/oferta/mitsubishi-grandis-z-niemiec-bezwypadek-1-wlasciciel-stan-bdb-ID6DrUQU.html#64231c9db8,2005 ,194 000 km,2 378 cm3,Benzyna,8 995,PLN,Skorzęcin,(Wielkopolskie)
Mercedes-Benz Klasa C 200,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-1-8benz-plus-gaz-6-biegow-wersja-avantgarde-stan-bdb-okazja-ID6DwRrI.html#64231c9db8,2007 ,190 000 km,1 796 cm3,Benzyna+LPG,31 900,PLN,Mielżyn,(Wielkopolskie)
Seat Ibiza 1.2,https://www.otomoto.pl/oferta/seat-ibiza-benzyna-2006r-5-drzwi-klimatyzacja-oplacona-kola-zimowe-ID6DvvtN.html#64231c9db8,2006 ,171 700 km,1 198 cm3,Benzyna,7 700,PLN,Gostyń,(Wielkopolskie)
Volkswagen Polo 1.9,https://www.otomoto.pl/oferta/volkswagen-polo-niezawodny-1-9-sdi-100-sprawny-zadbane-wnetrze-5l-100km-ID6DwRrY.html#64231c9db8,2004 ,217 500 km,1 896 cm3,Diesel,6 400,PLN,Ruda Śląska,(Śląskie)
Audi S8 Plus,https://www.otomoto.pl/oferta/audi-s8-audi-s8-plus-605km-ceramika-balao-karbon-wentyle-ID6Dk3s6.html#64231c9db8,2017 ,26 900 km,3 993 cm3,Benzyna,329 000,PLN,Dąbrowa Górnicza,(Śląskie)
Toyota Avensis 1.8,https://www.otomoto.pl/oferta/toyota-avensis-bezwypadek-z-niemiec-1-wlasciciel-stan-wzorowy-serwisowany-ID6DnAA0.html#64231c9db8,2005 ,188 000 km,1 794 cm3,Benzyna,11 996,PLN,Gołąbki,(Wielkopolskie)
Renault Megane 1.5,https://www.otomoto.pl/oferta/renault-megane-kraj-serwis-aso-i-wlasciciel-bezwypadkowa-gwarancja-ID6DvvsI.html#64231c9db8,2016 ,99 900 km,1 461 cm3,Diesel,33 500,PLN,Mysłowice,(Śląskie)
Audi A6 2.7,https://www.otomoto.pl/oferta/audi-a6-audi-a6-c6-2xs-line-okazja-ID6Dvvr1.html#64231c9db8,2010 ,220 000 km,2 698 cm3,Diesel,18 000,PLN,Oborniki,(Wielkopolskie)
Volkswagen Tiguan 1.4,https://www.otomoto.pl/oferta/volkswagen-tiguan-1-4tsi-160km-4x4-2xrline-pl-bezw-aso-gw-przebiegu-i-bezwypadkowosci-ID6Dpio8.html#64231c9db8,2014 ,46 852 km,1 390 cm3,Benzyna,67 499,PLN,Baniocha,(Mazowieckie)
