title,url,year,mileage,engine_capacity,fuel_type,price,currency,city,region
Volkswagen Golf IV,https://www.otomoto.pl/oferta/volkswagen-golf-1-4mpi-klima-niemcy-ladny-ID6DvmdH.html#1fc563406d,2006 ,212 600 km,1 390 cm3,Benzyna,11 500,PLN,Przasnysz,(Mazowieckie)
Mercedes-Benz Klasa S 600,https://www.otomoto.pl/oferta/mercedes-benz-klasa-s-s-600-l-v12-salon-polska-zamiana-ID6Dupwh.html#1fc563406d,2007 ,234 000 km,5 513 cm3,Benzyna,99 000,PLN,Myszków,(Śląskie)
Hyundai Tucson 1.6,https://www.otomoto.pl/oferta/hyundai-tucson-177km-manualna-skrzynia-mega-cena-ID6DvmdN.html#1fc563406d,2020 ,5 km,1 591 cm3,Benzyna,110 900,PLN,Piła,(Wielkopolskie)
Mercedes-Benz GLC,https://www.otomoto.pl/oferta/mercedes-benz-glc-ID6Dj29t.html#1fc563406d,2016 ,102 417 km,1 991 cm3,Benzyna,119 900,PLN,Olsztyn,(Warmińsko-mazurskie)
Jeep Renegade 1.0,https://www.otomoto.pl/oferta/jeep-renegade-my20-limited-gse-t3-turbo-120km-m6-p-led-p-funkcjonalny-od-reki-ID6DqX6M.html#056c45a62b,2020 ,5 km,999 cm3,Benzyna,93 750,PLN,Włocławek,(Kujawsko-pomorskie)
Audi Q7 50,https://www.otomoto.pl/oferta/audi-q7-quattro-50tdi-dostepne-od-reki-nowe-samochody-mozliwy-wynajem-ID6DrqAw.html#056c45a62b,2020 ,5 km,2 967 cm3,Diesel,349 900,PLN,Warszawa,(Mazowieckie)
Volkswagen Passat,https://www.otomoto.pl/oferta/volkswagen-passat-navi-grzane-fotele-czujniki-climatronic-gwarancja-serwis-bezwypadek-ID6CYxxp.html#056c45a62b,2009 ,209 000 km,1 968 cm3,Diesel,23 499,PLN,Kąty Opolskie,(Opolskie)
Ford Mondeo,https://www.otomoto.pl/oferta/ford-mondeo-trend-2016r-navi-syncpakiet-winter-faktura-vat-23-ID6DupuW.html#056c45a62b,2016 ,138 037 km,1 997 cm3,Diesel,51 900,PLN,Gdańsk,(Pomorskie)
Mercedes-Benz Klasa C,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-salon-polska-gwarancja-fabryczna-faktura-vat23-ID6D8qHE.html#056c45a62b,2019 ,15 015 km,1 497 cm3,Benzyna,141 900,PLN,Olsztyn,(Warmińsko-mazurskie)
Renault Laguna 2.0,https://www.otomoto.pl/oferta/renault-laguna-polskora-navi-alu-serwis-gwarancja-ID6DtTWW.html#056c45a62b,2008 ,128 000 km,1 997 cm3,Benzyna,19 900,PLN,Goworowo,(Mazowieckie)
BMW Seria 3,https://www.otomoto.pl/oferta/bmw-seria-3-coupe-2x-m-pakiet-x-drive-pdc-navi-automat-fv-23-ID6AsPkU.html#056c45a62b,2012 ,139 000 km,1 998 cm3,Diesel,55 227,PLN,Tenczynek,(Małopolskie)
Audi A7 3.0,https://www.otomoto.pl/oferta/audi-a7-fv23-competition-matrix-balao-masaze-wentyle-alu-21-ID6DmFlz.html#056c45a62b,2017 ,171 750 km,2 967 cm3,Diesel,147 900,PLN,Gliwice,(Śląskie)
Volvo S60,https://www.otomoto.pl/oferta/volvo-s60-cross-country-momentum-2017r-automatnavifakturavat23-ID6DuptO.html#056c45a62b,2017 ,109 125 km,1 969 cm3,Diesel,79 900,PLN,Gdańsk,(Pomorskie)
Ford C-MAX,https://www.otomoto.pl/oferta/ford-c-max-grand-c-max-trend-2016r-navifakturavat23-ID6DuptD.html#056c45a62b,2016 ,132 658 km,1 499 cm3,Diesel,40 900,PLN,Gdańsk,(Pomorskie)
BMW i3 i3S,https://www.otomoto.pl/oferta/bmw-i3-bmw-i3s-120ah-rata-2499-pln-netto-wplata-10-ID6Dqfwx.html#056c45a62b,2020 ,1 km,,Elektryczny,198 000,PLN,Poznań,(Wielkopolskie)
Toyota Prius,https://www.otomoto.pl/oferta/toyota-prius-prius-hybryda-niski-przebieg-ID6DvmcW.html#056c45a62b,2008 ,113 000 km,1 497 cm3,Hybryda,21 400,PLN,Kalisz,(Wielkopolskie)
Volkswagen up! 1.0,https://www.otomoto.pl/oferta/volkswagen-up-black-style-5-drzwiowy-1-0-60-km-manualna-5-biegowa-od-reki-ID6DcDIJ.html#056c45a62b,2020 ,5 km,999 cm3,Benzyna,59 900,PLN,Warszawa,(Mazowieckie)
DS Automobiles DS 7 Crossback 1.6,https://www.otomoto.pl/oferta/ds-automobiles-ds-7-crossback-jak-nowy-pierwsza-rejestracja-18-09-2020r-grand-chic-225km-ID6CIaIA.html#056c45a62b,2019 ,5 800 km,1 598 cm3,Benzyna,175 000,PLN,Wrocław,(Dolnośląskie)
